Name	Type	Region	PKG direct link	File Size
Konami Antiques: MSX Collection Vol. 2 	PS1	JP	http://zeusXXXXJP0101/NPJJ00008_00/korEtC7fIyMt8FI9MjtOMYHY2g12YCE08Uo724XTGQVykPtJvLgbf96ckf1ot7M3AHnMR2c449Fs4HoN0yrv1YYwAbcEDTElgibP1.pkg	36
ONE 	PS1	US	http://zeusXXXXUP9000/NPUJ00469_00/vnucksxIWLkFaFp4bw7umYkQVr2DGyt5dGsjDmrIwyaNp30CsheP506nw5G3uCoSBWSdUulnEUuApD3vNlu77QgR5cdaAoOHeXPkD.pkg	36
Sorcerer`s Maze 	PS1	EU	http://zeusXXXXEP1025/NPEF00103_00/aA5sxsvJkvABdLRDxGegvOwuaceiT3kQc7K25Td8X3xF0lDSOdjHkedVK33H5vB6r7by132ai5LJRfJxKocY91Vxy279xj1BqMAQt.pkg	37
Sports Superbike 2 	PS1	EU	http://zeusXXXXEP4061/NPEF00143_00/1Xtmcy93Lc69mK1jIGGoYlHEC1KxbIL2hJbnL0cYysJspq5SGINLHBuWiCmG3oOm.pkg	37
Building Crush! 	PS1	JP	http://zeusXXXXJP0213/NPJJ00207_00/C1Yg3ayGjYsm73Pat9N2EkTjpNV1xeGpJBIQgjGdaSgLW0cjoYGx6QR4MwvfIehenS5cHdfLLTvE4VIIvVIQ6D3mUDISCANvuMaRe.pkg	38
Konami Antiques: MSX Collection Vol. 1 	PS1	JP	http://zeusXXXXJP0101/NPJJ00006_00/filpJGQDhvpqay5FialskXKbtCbtI7o3ha8SW3Qg77bqfHdr628G7IkDyyo3UVhLhFVseBAiKObt7r0KDfjjOdKoTh9TUGTPDJJGJ.pkg	38
Simple 1500 Vol. 57: The Meiro 	PS1	JP	http://zeusXXXXJP0367/NPJJ00381_00/Ts4expf6RwNygHs4MUrLHMqLHFEOvaCw0ARuDFwadtRolWRGaqFNoLhRpQWupnXWav3XasNdSJy5ptmEKUY2dLwNFNlBh6aU7gMcj.pkg	38
Fantastic Pinball Kyutenkai	PS1	JP	http://zeusXXXXJP0177/NPJJ00753_00/JXVYWKEUoyhIceoNhnSvynGMEjYMRzNNhGbyakdatKrDRGlWQPawImIrLVhWWNUaWtkOnfAbXsSxRLuSdWmHKyyPjUOWgqivGJvYl.pkg	39
Fantastic Pinball Kyutenkai 	PS1	JP	http://zeusXXXXJP0242/NPJJ00358_00/6SLTpq4LJXEf6vHiEsOBpFPaVQr03dHrOxEf7k2arJl1Rma5MQFsVb5GgqGoIVOHAAHaOcCn30fJXr2k0hpVDLR4E4vFeYkMIm5n1.pkg	39
Oekaki Puzzle 3 (SuperLite 1500) 	PS1	JP	http://zeusXXXXJP0571/NPJJ00459_00/0W1joQe2GbjhYGGURW6VUiuDqNHaOtHofnHqauWFFwRKaRBwuMDXmUgXs021pdMrgEbEs0bKjsF2C5BAcc8tduROIE5gFn0mlbhkX.pkg	39
Oekaki Puzzle 4 (SuperLite 1500) 	PS1	JP	http://zeusXXXXJP0571/NPJJ00468_00/dibb9sftfJXuJ4nycpRUMGQhgVBGEHc8H38GFwYOYv572iMPVFFood9hMNcNwDJ7hlxRmAaBBHXsUTa6rL4P3fLum2S4D2rrfOYEj.pkg	39
Oekaki Puzzle 5 (SuperLite 1500) 	PS1	JP	http://zeusXXXXJP0571/NPJJ00475_00/2LDSfMNqEUcwdT2WaTMtmm3RfcfqWbVhVVur4gUqNgV5FGK7T1qta9EhoKlcHL9BpL1gn8TeJLYQPihQMapPBWtyTy77nqH3FOpRA.pkg	39
Sanyo Pachinko Paradise 3 	PS1	JP	http://zeusXXXXJP0024/NPJJ00100_00/UFmmnOUebEk6XxWc6rBNf73a5DxPEBlkklrVF9yYkFCGaOt0lKVJf8AF6UkYHFm32OwCjYAcWbW4j8a3YT3YmjHs0jOaXv049DWMB.pkg	39
